phi the  : 1274
the cruel  : 7
cruel mother  : 2
mother that  : 4
that burnt  : 2
burnt my  : 2
my golden  : 2
golden shell  : 2
shell !  : 2
saying he  : 6
he wept  : 3
wept bitterly  : 2
bitterly .  : 3
the youths  : 4
youths rose  : 1
rose from  : 6
great stone  : 2
stone fountain  : 1
fountain ,  : 6
, turned  : 7
turned themselves  : 1
themselves into  : 3
into eagles  : 1
eagles again  : 1
and flew  : 14
away too  : 1
too ,  : 64
, returned  : 1
returned to  : 16
of day  : 1
home .  : 57
soon after  : 10
after he  : 17
heard that  : 19
princess was  : 15
was ill  : 4
ill ,  : 6
the only  : 52
only thing  : 9
that did  : 5
did her  : 3
her good  : 4
good was  : 1
was having  : 3
having stories  : 1
stories told  : 1
told to  : 7
therefore went  : 1
royal castle  : 1
, obtained  : 1
obtained an  : 1
an audience  : 1
audience of  : 1
her about  : 3
the strange  : 6
strange things  : 4
things he  : 4
seen in  : 9
the underground  : 3
underground palace  : 1
palace .  : 12
he finished  : 2
finished than  : 1
princess asked  : 1
to that  : 15
that palace  : 1
` certainly  : 3
certainly .  : 1
she desired  : 2
desired him  : 1
to guide  : 1
guide her  : 1
her thither  : 1
thither at  : 1
they came  : 31
the palace  : 55
palace he  : 3
hid her  : 2
her behind  : 1
picture and  : 1
and advised  : 1
advised her  : 1
keep quite  : 1
quite still  : 3
still ,  : 33
placed himself  : 1
himself behind  : 2
picture also  : 1
also .  : 6
presently the  : 5
eagles came  : 1
came flying  : 6
and changed  : 1
changed themselves  : 1
into young  : 1
young men  : 3
a moment  : 63
moment the  : 19
princess recognised  : 1
husband amongst  : 1
amongst them  : 2
them all  : 24
all ,  : 63
her hiding-place  : 1
hiding-place ;  : 1
man held  : 1
held her  : 6
her back  : 17
youths seated  : 1
table ;  : 4
prince said  : 3
said again  : 1
while he  : 28
the cup  : 2
cup of  : 4
of wine  : 5
wine :  : 1
princess could  : 2
could restrain  : 1
restrain herself  : 1
herself no  : 2
longer ,  : 14
but ran  : 1
ran forward  : 1
forward and  : 9
her arms  : 16
arms round  : 5
husband .  : 11
immediately he  : 2
knew her  : 2
her again  : 12
you remember  : 3
remember how  : 1
i told  : 11
that day  : 19
day that  : 8
you would  : 47
would betray  : 1
i spoke  : 3
spoke the  : 2
all that  : 61
that bad  : 1
bad time  : 1
time is  : 3
is past  : 1
past .  : 6
now listen  : 2
me :  : 1
: i  : 7
must still  : 1
still remain  : 1
remain enchanted  : 1
enchanted for  : 1
three months  : 7
months .  : 1
phi will  : 10
you stay  : 3
here with  : 4
me till  : 4
till that  : 1
is over  : 5
over ?  : 1
princess stayed  : 1
go back  : 38
castle and  : 4
tell my  : 4
my parents  : 5
parents that  : 1
am staying  : 1
staying here  : 1
her parents  : 5
parents were  : 3
much vexed  : 1
vexed when  : 1
back and  : 20
told them  : 20
them this  : 3
this ,  : 72
but as  : 36
months of  : 3
's enchantment  : 1
enchantment were  : 1
were over  : 3
over ,  : 27
he ceased  : 2
ceased to  : 4
be an  : 9
became once  : 1
more a  : 1
they returned  : 2
returned home  : 7
home together  : 1
they lived  : 11
lived happily  : 9
happily ,  : 4
we who  : 1
who hear  : 1
hear the  : 21
story are  : 1
are happier  : 1
happier still  : 1
still .  : 15
iron stove  : 16
stove -lrb-  : 1
-lrb- 7  : 2
7 -rrb-  : 2
-rrb- grimm  : 1
grimm .  : 1
time when  : 5
when wishes  : 1
wishes came  : 1
came true  : 1
true there  : 1
's son  : 11
son who  : 2
enchanted by  : 1
by an  : 11
old witch  : 27
to sit  : 13
sit in  : 5
large iron  : 1
stove in  : 3
lived for  : 4
could free  : 2
free him  : 3
daughter came  : 1
came into  : 20
wood ;  : 2
; she  : 37
had lost  : 13
lost her  : 7
her way  : 16
not find  : 11
find her  : 12
father 's  : 32
's kingdom  : 4
kingdom again  : 1
been wandering  : 2
wandering round  : 1
round and  : 14
and round  : 9
round for  : 1
for nine  : 3
nine days  : 4
came at  : 4
last to  : 3
iron case  : 1
case .  : 3
voice came  : 3
came from  : 15
from within  : 1
within and  : 1
where do  : 4
you come  : 24
come from  : 20
from ,  : 9
and where  : 12
you want  : 29
want to  : 61
go ?  : 8
have lost  : 3
lost my  : 2
my way  : 8
i shall  : 103
shall never  : 14
get home  : 3
the voice  : 14
voice from  : 2
stove said  : 1
will help  : 7
find your  : 2
your home  : 1
a very  : 105
very short  : 7
short time  : 16
will promise  : 3
promise to  : 6
do what  : 9
i ask  : 8
am a  : 23
a greater  : 1
greater prince  : 1
prince than  : 1
than you  : 8
a princess  : 8
marry you  : 2
grew frightened  : 1
frightened ,  : 10
can a  : 2
young lassie  : 1
lassie do  : 1
do with  : 29
stove ?  : 1
she wanted  : 13
wanted very  : 4
go home  : 22
home to  : 19
she promised  : 2
promised to  : 9
must come  : 4
come again  : 6
bring a  : 1
knife with  : 1
to scrape  : 3
scrape a  : 1
a hole  : 8
hole in  : 8
iron .  : 3
her someone  : 1
someone for  : 1
a guide  : 1
guide ,  : 1
who walked  : 1
walked near  : 1
near her  : 4
said nothing  : 16
two hours  : 8
hours to  : 2
her house  : 1
house .  : 20
was great  : 7
joy in  : 2
castle when  : 1
princess came  : 6
king fell  : 1
fell on  : 19
neck and  : 12
much troubled  : 1
troubled ,  : 1
, listen  : 4
has befallen  : 1
befallen me  : 1
should never  : 8
come home  : 5
again out  : 1
great wild  : 2
wild wood  : 3
wood if  : 1
stove ,  : 9
whom i  : 3
to promise  : 1
promise that  : 5
him and  : 67
and marry  : 4
him !  : 23
so frightened  : 7
frightened that  : 5
he nearly  : 3
nearly fainted  : 1
fainted ,  : 2
was his  : 23
his only  : 8
only daughter  : 6
they consulted  : 2
consulted together  : 2
and determined  : 4
determined that  : 4
the miller  : 10
miller 's  : 3
should take  : 3
her place  : 5
they took  : 7
took her  : 8
her there  : 5
must scrape  : 1
scrape at  : 1
stove .  : 1
she scraped  : 2
scraped for  : 1
for twenty-four  : 1
twenty-four hours  : 6
hours ,  : 7
least impression  : 1
impression .  : 2
day broke  : 2
broke ,  : 3
, a  : 92
voice called  : 1
called from  : 1
it seems  : 23
seems to  : 20
is day  : 1
day outside  : 1
outside .  : 7
seems so  : 4
so to  : 5
i think  : 71
think i  : 32
i hear  : 4
hear my  : 3
's mill  : 1
mill rattling  : 1
rattling .  : 1
a miller  : 2
daughter !  : 4
then go  : 4
away at  : 5
come .  : 16
the thing  : 8
thing inside  : 1
inside the  : 4
stove would  : 1
have her  : 4
but wanted  : 1
wanted the  : 2
princess .  : 36
was frightened  : 5
daughter wept  : 1
wept .  : 1
a swineherd  : 2
swineherd 's  : 2
daughter who  : 1
was even  : 4
even more  : 9
more beautiful  : 14
beautiful than  : 6
a piece  : 18
stove instead  : 1
taken out  : 1
scrape for  : 1
for four-and-twenty  : 1
four-and-twenty hours  : 1
no impression  : 2
broke the  : 3
the stove  : 9
stove called  : 1
be daylight  : 1
daylight outside  : 1
me too  : 2
too ;  : 4
father blowing  : 1
blowing his  : 2
his horn  : 1
horn .  : 3
phi go  : 28
and let  : 31
let the  : 31
daughter come  : 1
her that  : 26
that what  : 5
i foretell  : 1
foretell shall  : 1
shall come  : 2
to pass  : 5
pass ,  : 1
come everything  : 1
everything in  : 7
the kingdom  : 25
kingdom shall  : 1
shall fall  : 2
fall into  : 4
into ruin  : 1
ruin ,  : 3
not one  : 7
one stone  : 1
stone shall  : 1
left upon  : 1
upon another  : 1
another .  : 15
princess heard  : 1
heard this  : 5
this she  : 9
she began  : 22
to cry  : 19
cry ,  : 8
good ;  : 2
keep her  : 4
her word  : 1
word .  : 18
took leave  : 5
leave of  : 8
, put  : 20
put a  : 10
knife in  : 1
her belt  : 3
belt ,  : 4
she reached  : 6
it she  : 7
scrape ,  : 2
iron gave  : 1
gave way  : 5
way and  : 10
before two  : 1
hours had  : 2
had passed  : 14
passed she  : 2
little hole  : 3
hole .  : 4
she peeped  : 1
peeped in  : 1
in and  : 35
saw such  : 2
beautiful youth  : 3
youth all  : 1
all shining  : 2
shining with  : 2
with gold  : 8
stones that  : 1
she fell  : 8
fell in  : 7
in love  : 15
love with  : 13
spot .  : 10
scraped away  : 1
away harder  : 1
than ever  : 39
the hole  : 12
hole so  : 1
so large  : 7
large that  : 3
could get  : 16
out .  : 48
are mine  : 7
mine ,  : 9
am thine  : 2
thine ;  : 2
are my  : 3
my bride  : 2
bride and  : 2
have set  : 1
set me  : 1
me free  : 3
free !  : 2
she begged  : 2
him just  : 5
just to  : 10
her go  : 3
go once  : 1
more to  : 18
father ;  : 4
prince let  : 1
but told  : 2
her not  : 3
say more  : 1
than three  : 5
three words  : 3
words to  : 7
then to  : 12
home ,  : 35
but alas  : 2
said more  : 1
words ;  : 2
immediately the  : 6
stove vanished  : 1
vanished and  : 1
over a  : 16
a mountain  : 7
mountain of  : 2
of glass  : 4
glass and  : 2
and sharp  : 2
sharp swords  : 4
swords .  : 1
was free  : 2
free ,  : 9
longer shut  : 1
shut up  : 5
in it  : 66
said good-bye  : 1
good-bye to  : 3
little money  : 1
money with  : 2
went again  : 2
wood to  : 3
stove ;  : 3
find it  : 14
she sought  : 1
sought it  : 1
it for  : 12
her hunger  : 1
hunger became  : 1
became so  : 7
so great  : 7
great that  : 4
live any  : 3
any longer  : 18
longer .  : 18
she climbed  : 2
little tree  : 1
tree and  : 5
and wished  : 4
wished that  : 4
night would  : 3
the wild  : 31
wild beasts  : 12
beasts .  : 1
when midnight  : 1
midnight came  : 1
saw afar  : 1
afar off  : 1
little light  : 1
light ,  : 10
ah !  : 12
if only  : 15
only i  : 6
could reach  : 5
reach that  : 1
that !  : 22
she got  : 19
got down  : 8
down from  : 16
light .  : 8
little old  : 6
old house  : 5
of grass  : 8
grass growing  : 1
growing round  : 1
round ,  : 23
little heap  : 1
heap of  : 9
of wood  : 10
what am  : 8
i coming  : 1
to ?  : 13
and peeped  : 4
peeped through  : 1
window ;  : 3
saw nothing  : 2
nothing inside  : 1
inside except  : 1
except big  : 1
big and  : 2
and little  : 20
little toads  : 10
toads ,  : 6
table beautifully  : 1
beautifully spread  : 1
with roast  : 1
roast meats  : 3
meats and  : 3
and wine  : 2
the dishes  : 3
dishes and  : 1
and drinking-cups  : 1
drinking-cups were  : 1
were of  : 7
took heart  : 2
and knocked  : 7
knocked .  : 3
a fat  : 7
fat toad  : 1
toad called  : 1
out :  : 8
` little  : 8
little green  : 6
green toad  : 2
toad with  : 5
with leg  : 1
leg like  : 1
like crook  : 1
crook ,  : 1
, open  : 3
open wide  : 1
wide the  : 1
the door  : 96
and look  : 17
look who  : 1
who it  : 5
the latch  : 1
latch that  : 1
that shook  : 1
shook .  : 2
little toad  : 4
toad came  : 1
came forward  : 5
she entered  : 2
entered they  : 1
all bid  : 1
bid her  : 1
her welcome  : 2
welcome ,  : 3
made her  : 17
her sit  : 1
sit down  : 17
down .  : 23
they asked  : 2
what she  : 35
wanted .  : 5
told everything  : 1
that had  : 38
had happened  : 19
happened to  : 20
how ,  : 3
had exceeded  : 1
exceeded her  : 1
her permission  : 2
permission only  : 1
only to  : 15
speak three  : 1
words ,  : 25
stove had  : 1
had disappeared  : 15
disappeared with  : 3
had searched  : 1
searched a  : 1
long time  : 23
must wander  : 1
wander over  : 1
over mountain  : 1
mountain and  : 2
and valley  : 1
valley till  : 1
she found  : 38
found him  : 9
old toad  : 8
toad said  : 1
toad whose  : 1
whose leg  : 1
leg doth  : 1
doth twist  : 1
twist ,  : 1
the corner  : 24
corner of  : 10
you wist  : 1
wist ,  : 1
bring to  : 1
the large  : 5
large old  : 1
old kist  : 1
kist .  : 1
toad went  : 3
brought out  : 6
out a  : 28
great chest  : 2
chest .  : 14
her food  : 1
food and  : 11
and drink  : 9
drink ,  : 12
a beautifully  : 1
beautifully made  : 1
made bed  : 1
bed of  : 5
of silk  : 2
and samite  : 1
samite ,  : 1
she lay  : 11
lay down  : 28
and slept  : 15
slept soundly  : 4
soundly .  : 3
day dawned  : 1
dawned she  : 1
she arose  : 1
arose ,  : 4
toad gave  : 2
her three  : 2
three things  : 1
things out  : 2
the huge  : 6
huge chest  : 1
chest to  : 3
take with  : 1
have need  : 1
need of  : 11
to cross  : 6
cross a  : 2
high glass  : 1
glass mountain  : 11
mountain ,  : 11
, three  : 9
three cutting  : 2
cutting swords  : 2
swords ,  : 4
great lake  : 8
lake .  : 2
passed these  : 1
these she  : 1
would find  : 8
her lover  : 8
lover again  : 1
was given  : 6
given three  : 1
three large  : 1
large needles  : 1
needles ,  : 1
a plough-wheel  : 1
plough-wheel ,  : 2
three nuts  : 2
nuts ,  : 1
take great  : 3
great care  : 5
of .  : 7
she set  : 14
out with  : 20
things ,  : 26
the glass  : 22
mountain which  : 3
so slippery  : 1
slippery she  : 1
she stuck  : 1
stuck the  : 4
three needles  : 2
needles behind  : 1
behind her  : 11
feet and  : 10
then in  : 5
front ,  : 5
so got  : 1
got over  : 3
over it  : 21
other side  : 24
side put  : 1
them carefully  : 1
carefully away  : 2
and got  : 12
her plough-wheel  : 1
plough-wheel and  : 1
and rolled  : 7
rolled over  : 4
lake ,  : 8
had crossed  : 2
crossed that  : 1
, arrived  : 4
arrived at  : 16
at a  : 48
beautiful castle  : 2
gave herself  : 3
a servant  : 3
servant ,  : 3
a poor  : 13
poor maid  : 1
maid who  : 1
would gladly  : 4
gladly be  : 1
be engaged  : 1
engaged .  : 4
prince whom  : 1
freed from  : 10
wood was  : 3
was in  : 76
taken on  : 1
a kitchen-maid  : 1
kitchen-maid for  : 1
for very  : 1
very small  : 2
small wages  : 1
wages .  : 5
marry another  : 1
another princess  : 1
dead long  : 1
ago .  : 10
had washed  : 4
washed up  : 3
felt in  : 3
her pocket  : 3
pocket and  : 2
nuts which  : 1
toad had  : 22
had given  : 22
given her  : 3
she cracked  : 1
cracked one  : 1
one and  : 9
eat the  : 3
the kernel  : 1
kernel ,  : 1
when behold  : 1
behold !  : 4
beautiful royal  : 1
royal dress  : 1
dress inside  : 3
inside it  : 4
the bride  : 15
bride heard  : 1
heard of  : 19
begged for  : 4
the dress  : 6
to buy  : 8
buy it  : 2
saying that  : 10
a dress  : 6
dress for  : 2
a serving-maid  : 1
serving-maid .  : 1
not sell  : 3
sell it  : 6
it unless  : 1
unless she  : 3
was granted  : 2
granted one  : 1
one favour  : 1
favour --  : 1
-- namely  : 2
namely ,  : 2
sleep by  : 2
's door  : 8
door .  : 29
bride granted  : 1
granted her  : 1
her this  : 3
because the  : 10
dress was  : 5
beautiful and  : 6
had so  : 14
so few  : 2
few like  : 1
like it  : 12
her bridegroom  : 1
bridegroom ,  : 2
that stupid  : 1
stupid maid  : 1
maid wants  : 1
wants to  : 2
by your  : 5
your door  : 1
are contented  : 1
contented ,  : 2
a glass  : 6
glass of  : 6
wine in  : 2
had poured  : 1
poured a  : 2
a sleeping-draught  : 2
sleeping-draught .  : 2
they both  : 11
both went  : 2
his room  : 4
slept so  : 3
so soundly  : 2
soundly that  : 2
not wake  : 3
wake him  : 2
the maid  : 5
maid wept  : 1
wept all  : 1
night long  : 2
i freed  : 2
freed you  : 3
wood out  : 1
have sought  : 2
sought you  : 2
have crossed  : 2
crossed a  : 2
a glassy  : 2
glassy mountain  : 3
three sharp  : 3
lake before  : 1
before i  : 12
i found  : 7
found you  : 3
not hear  : 8
hear me  : 3
me now  : 7
now ?  : 15
the servants  : 8
servants outside  : 2
outside heard  : 2
heard how  : 4
she cried  : 13
whole night  : 7
they told  : 12
told their  : 3
their master  : 3
master in  : 2
morning .  : 21
next evening  : 3
she bit  : 2
bit the  : 4
second nut  : 1
nut ,  : 3
a still  : 5
beautiful dress  : 2
inside .  : 5
bride saw  : 2
saw it  : 6
it also  : 1
maid did  : 1
not want  : 11
want money  : 1
asked that  : 2
she should  : 18
should sleep  : 3
sleep again  : 3
again by  : 1
bride ,  : 7
sleeping-draught ,  : 1
the kitchen-maid  : 1
kitchen-maid wept  : 1
wept the  : 1
have freed  : 1
wood and  : 9
and from  : 14
from an  : 3
i sought  : 1
you and  : 21
lake to  : 1
will not  : 36
morning they  : 3
master .  : 13
up on  : 33
third night  : 1
third nut  : 1
inside that  : 1
was made  : 10
of pure  : 5
pure gold  : 3
maid would  : 1
would only  : 9
only give  : 3
give it  : 7
it her  : 2
her on  : 12
on condition  : 3
condition that  : 3
sleep for  : 2
third time  : 7
time by  : 2
prince took  : 3
care not  : 4
to drink  : 11
drink the  : 2
the sleeping-draught  : 1
to weep  : 3
weep and  : 2
say ,  : 32
dearest sweetheart  : 1
sweetheart ,  : 1
the horrible  : 2
horrible wild  : 1
he jumped  : 9
jumped up  : 10
are right  : 2
thine .  : 1
phi though  : 4
though it  : 7
still night  : 1
he got  : 34
got into  : 13
a carriage  : 3
carriage with  : 2
the false  : 1
false bride  : 1
bride 's  : 1
clothes away  : 1
not follow  : 3
follow them  : 3
lake they  : 1
they rowed  : 1
rowed across  : 1
across ,  : 4
swords they  : 1
sat on  : 18
the plough-wheel  : 1
and on  : 27
the glassy  : 2
mountain they  : 1
they stuck  : 2
needles in  : 1
they arrived  : 5
last at  : 1
they stepped  : 2
stepped inside  : 1
it turned  : 5
turned into  : 7
large castle  : 2
the toads  : 2
toads were  : 2
all freed  : 1
freed ,  : 1
were beautiful  : 2
beautiful king  : 1
's children  : 11
, running  : 5
running about  : 6
about for  : 10
there they  : 11
were married  : 4
married ,  : 8
remained in  : 3
much larger  : 2
larger than  : 3
than that  : 19
that of  : 18
's father  : 11
's .  : 13
like being  : 5
being left  : 1
left alone  : 6
and fetched  : 4
fetched him  : 1
had two  : 5
two kingdoms  : 1
kingdoms and  : 1
and lived  : 9
lived in  : 15
great wealth  : 1
wealth .  : 1
mouse has  : 1
has run  : 1
run ,  : 3
, my  : 100
my story  : 2
story 's  : 1
's done  : 4
done .  : 18
dragon and  : 1
his grandmother  : 8
grandmother there  : 1
great war  : 2
war ,  : 4
great many  : 8
many soldiers  : 1
gave them  : 11
them so  : 4
so little  : 7
little pay  : 1
pay that  : 2
not live  : 4
live upon  : 1
then three  : 1
three of  : 10
took counsel  : 3
counsel together  : 2
together and  : 8
to desert  : 1
desert .  : 1
others ,  : 4
if we  : 27
are caught  : 1
caught ,  : 5
be hanged  : 4
hanged on  : 1
the gallows  : 2
gallows ;  : 1
; how  : 5
how shall  : 3
we set  : 3
set about  : 4
other said  : 1
that large  : 1
large cornfield  : 1
cornfield there  : 1
there ?  : 15
we were  : 30
to hide  : 9
hide ourselves  : 1
ourselves in  : 1
find us  : 2
the army  : 5
army can  : 1
come into  : 6
into it  : 22
to-morrow it  : 2
is to  : 34
to march  : 2
march on  : 5
they crept  : 1
